model_name,graph_id,oap_method,oap_params,device_type,cores,batch_size,load_time,exec_time,warmup_time,input_size
whisper-large-v2,0,PARAM_OAP,3,cpu,16,1,5.822324514389038,0.0,0.0,480000
whisper-large-v2,1,PARAM_OAP,3,cpu,16,1,4.2656636238098145,0.0,0.0,49991796
whisper-large-v2,2,PARAM_OAP,3,cpu,16,1,5.379983901977539,0.0,0.0,73057432
whisper-large-v2,0,PARAM_OAP,3,cuda:2,1,1,1.061535358428955,0.06099438667297363,0.0025916099548339844,480000
whisper-large-v2,1,PARAM_OAP,3,cuda:2,1,1,0.5384705066680908,0.007950067520141602,0.0013492107391357422,49991796
whisper-large-v2,2,PARAM_OAP,3,cuda:2,1,1,0.1504817008972168,0.011477947235107422,0.0018658638000488281,73057432
whisper-large-v2,0,TIME_OAP,3,cpu,16,1,5.934666633605957,0.0,0.0,480000
whisper-large-v2,1,TIME_OAP,3,cpu,16,1,2.5676722526550293,0.0,0.0,26921028
whisper-large-v2,2,TIME_OAP,3,cpu,16,1,6.89431357383728,0.0,0.0,96128200
whisper-large-v2,0,TIME_OAP,3,cuda:2,1,1,1.1211049556732178,0.07593846321105957,0.12685465812683105,480000
whisper-large-v2,1,TIME_OAP,3,cuda:2,1,1,0.12050271034240723,0.004606008529663086,0.0007810592651367188,26921028
whisper-large-v2,2,TIME_OAP,3,cuda:2,1,1,0.616811990737915,0.020767688751220703,0.024292945861816406,96128200
whisper-large-v2,0,ME_OAP,10.0-1,cpu,16,1,15.180994033813477,0.0,0.0,123529228
whisper-large-v2,0,ME_OAP,10.0-1,cuda:2,1,1,1.5576250553131104,0.07357597351074219,-0.00046563148498535156,123529228
switch-base-128,0,LATENCY_OAP,10.0-3,cpu,16,1,23.28643822669983,0.0,0.0,8066560
switch-base-128,1,LATENCY_OAP,10.0-3,cpu,16,1,26.52046036720276,0.0,0.0,10304768
switch-base-128,2,LATENCY_OAP,10.0-3,cpu,16,1,29.541319370269775,0.0,0.0,13886976
switch-base-128,0,LATENCY_OAP,10.0-3,cuda:2,1,1,5.4494309425354,0.022575855255126953,1.1158974170684814,8066560
switch-base-128,1,LATENCY_OAP,10.0-3,cuda:2,1,1,6.149670600891113,0.025140762329101562,0.029510498046875,10304768
switch-base-128,2,LATENCY_OAP,10.0-3,cuda:2,1,1,8.37513780593872,0.023499250411987305,0.005559206008911133,13886976
switch-base-128,0,PARAM_OAP,8,cpu,16,1,8.768028974533081,0.0,0.0,3612160
switch-base-128,1,PARAM_OAP,8,cpu,16,1,9.2945876121521,0.0,0.0,2316288
switch-base-128,2,PARAM_OAP,8,cpu,16,1,10.011182308197021,0.0,0.0,4200960
switch-base-128,3,PARAM_OAP,8,cpu,16,1,10.181350469589233,0.0,0.0,3306752
switch-base-128,4,PARAM_OAP,8,cpu,16,1,10.028440475463867,0.0,0.0,4838400
switch-base-128,5,PARAM_OAP,8,cpu,16,1,10.129695892333984,0.0,0.0,5004288
switch-base-128,6,PARAM_OAP,8,cpu,16,1,10.139617919921875,0.0,0.0,5104128
switch-base-128,7,PARAM_OAP,8,cpu,16,1,9.853652000427246,0.0,0.0,3875328
switch-base-128,0,PARAM_OAP,8,cuda:2,1,1,1.9232194423675537,0.017740488052368164,0.28482818603515625,3612160
switch-base-128,1,PARAM_OAP,8,cuda:2,1,1,2.2918076515197754,0.008847475051879883,0.002546072006225586,2316288
